pincode,locality,district,state,lat,lng,office_count
581213,Halagi,Haveri,Karnataka,14.907157,75.552157,7
581237,Hesarur,Haveri,Karnataka,14.993500,75.500165,6
581301,Karwar,Uttara Kannada,Karnataka,14.815869,74.129568,3
581302,Awara Road,Uttara Kannada,Karnataka,14.798349,74.112182,2
581303,Kodibag,Uttara Kannada,Karnataka,14.837028,74.132167,1
581304,Nandangadda,Uttara Kannada,Karnataka,14.831361,74.143423,1
581306,Baad,Uttara Kannada,Karnataka,14.813789,74.155517,4
581307,Binaga,Uttara Kannada,Karnataka,14.787774,74.127814,1
581308,Arge,Uttara Kannada,Karnataka,14.771757,74.158686,2
581314,Agsur,Uttara Kannada,Karnataka,14.683436,74.460602,14
581315,Balvalli,Uttara Kannada,Karnataka,12.615500,74.834500,9
581316,Harwada,Uttara Kannada,Karnataka,14.726033,74.283555,4
581317,Balni,Uttara Kannada,Karnataka,14.896757,74.206478,7
581318,Bhasi,Uttara Kannada,Karnataka,14.370000,74.500000,10
581319,Adigon,Uttara Kannada,Karnataka,14.574216,74.321416,8
581320,Belke,Uttara Kannada,Karnataka,13.984817,74.567353,15
581321,Bhavikeri,Uttara Kannada,Karnataka,14.699738,74.275883,2
581322,Alvalli,Uttara Kannada,Karnataka,12.615500,74.834500,9
581323,Konalli,Uttara Kannada,Karnataka,14.408380,74.511665,6
581324,Amdalli,Uttara Kannada,Karnataka,14.767689,74.208731,5
581325,Alur,Uttara Kannada,Karnataka,15.251804,74.627155,10
581326,Sanikatta,Uttara Kannada,Karnataka,14.546482,74.343561,3
581327,Dhareshwar,Uttara Kannada,Karnataka,14.356617,74.420455,4
581328,Bolshitta,Uttara Kannada,Karnataka,14.885184,74.220185,4
581329,Ammankoppa,Uttara Kannada,Karnataka,12.615500,74.834500,16
581330,Lukkeri,Uttara Kannada,Karnataka,14.465483,74.408694,3
581331,Balekoppa,Uttara Kannada,Karnataka,12.615500,74.834500,9
581332,Kalbag,Uttara Kannada,Karnataka,14.406911,74.430331,5
581333,Betkuli,Uttara Kannada,Karnataka,14.510295,74.422244,7
581334,Areangadi,Uttara Kannada,Karnataka,14.286674,74.490701,16
581335,Mavinkurve,Uttara Kannada,Karnataka,14.269320,74.487622,5
581336,Bakkal,Uttara Kannada,Karnataka,14.420000,74.460000,10
581337,Arbail,Uttara Kannada,Karnataka,12.615500,74.834500,9
581338,Hodkeshirur,Uttara Kannada,Karnataka,14.375428,74.449127,5
581339,Kinnar,Uttara Kannada,Karnataka,14.857266,74.210566,4
581340,Adkalli,Uttara Kannada,Karnataka,14.310000,74.500000,15
581341,Konkar,Uttara Kannada,Karnataka,14.316972,74.432202,4
581342,Apsarkonda,Uttara Kannada,Karnataka,14.247863,74.446509,5
581343,Kumta,Uttara Kannada,Karnataka,14.418794,74.412600,4
581344,Achve,Uttara Kannada,Karnataka,14.600530,74.397741,8
581345,Gaongeri,Uttara Kannada,Karnataka,14.881667,74.112937,3
581346,Bhedasgaon,Uttara Kannada,Karnataka,15.420000,75.630000,8
581347,Chavatti,Uttara Kannada,Karnataka,14.856944,74.817250,7
581348,Adukal,Uttara Kannada,Karnataka,14.187694,74.475722,5
581349,Andalgi,Uttara Kannada,Karnataka,12.615500,74.834500,10
581350,Anantwadi,Uttara Kannada,Karnataka,14.126604,74.489691,3
581351,Aghanashini,Uttara Kannada,Karnataka,14.480323,74.376176,6
581352,Devbag,Uttara Kannada,Karnataka,14.863083,74.132083,3
581353,Basgod,Uttara Kannada,Karnataka,14.623000,74.311457,6
581354,Alvekodi,Uttara Kannada,Karnataka,14.033246,74.530326,4
581355,Adukatta,Uttara Kannada,Karnataka,12.615500,74.834500,23
581356,Aralwada,Uttara Kannada,Karnataka,12.615500,74.834500,7
581357,Belse,Uttara Kannada,Karnataka,14.614964,74.360188,5
581358,Andagi,Uttara Kannada,Karnataka,12.615500,74.834500,9
581359,Angod,Uttara Kannada,Karnataka,14.963000,74.714833,17
581360,Hosali,Uttara Kannada,Karnataka,14.883389,74.481131,3
581361,Chikkankod,Uttara Kannada,Karnataka,14.293263,74.515094,5
581362,Halkar,Uttara Kannada,Karnataka,14.449618,74.472601,9
581363,Bhagwati,Uttara Kannada,Karnataka,15.710000,74.390000,5
581365,Aveda,Uttara Kannada,Karnataka,15.100000,74.290000,2
581384,Gersoppa,Uttara Kannada,Karnataka,14.240281,74.653656,5
581396,Kadra Bazar,Uttara Kannada,Karnataka,14.911050,74.347610,2
581400,Devalmakki,Uttara Kannada,Karnataka,14.897783,74.315842,5
581401,Sirsi,Uttara Kannada,Karnataka,14.620164,74.830002,4
581402,Arsapur,Uttara Kannada,Karnataka,14.739777,74.879436,20
581403,Barur,Uttara Kannada,Karnataka,14.605472,74.824250,10
581411,Kusur,Uttara Kannada,Karnataka,15.420000,75.630000,3
581412,Hosalli,Uttara Kannada,Karnataka,12.615500,74.834500,3
581421,Bengre,Uttara Kannada,Karnataka,14.070965,74.505158,6
581423,Balkur,Uttara Kannada,Karnataka,14.230577,74.525751,7
581440,Antravalli,Uttara Kannada,Karnataka,14.489770,74.433542,6
581450,Hegnoor,Uttara Kannada,Karnataka,12.615500,74.834500,7
581453,Akheti,Uttara Kannada,Karnataka,12.615500,74.834500,4
582101,Gadag,Gadag,Karnataka,15.430541,75.635421,4
582102,Balaganur,Gadag,Karnataka,15.516556,75.655028,12
582103,Advisomapur,Gadag,Karnataka,15.354915,75.628221,16
582111,Jakkali,Gadag,Karnataka,15.575106,75.784504,4
582112,Bannikoppa,Gadag,Karnataka,15.070844,75.690173,11
582113,Bardur,Gadag,Karnataka,15.316613,75.844450,9
582114,Chilzeri,Gadag,Karnataka,15.733332,75.962655,7
582115,Halligudi,Gadag,Karnataka,15.409756,75.747049,6
582116,Adarkatti,Gadag,Karnataka,15.127496,75.521824,12
582117,Chinchali,Gadag,Karnataka,15.264031,75.486896,7
582118,Bagewadi,Gadag,Karnataka,15.093818,75.847460,12
582119,Halkeri,Gadag,Karnataka,15.624815,75.844799,4
582120,Chebbi,Gadag,Karnataka,15.231850,75.597390,8
582201,Basapur,Dharwad,Karnataka,15.446362,75.435844,9
582202,Koujageri,Gadag,Karnataka,15.699751,75.546387,4
582203,Asuti,Gadag,Karnataka,15.805430,75.635099,6
582204,Belhod,Gadag,Karnataka,15.515698,75.557384,3
582205,Anturbentur,Gadag,Karnataka,15.414519,75.516518,6
582206,Konnur,Gadag,Karnataka,15.854168,75.491892,1
582207,Banhatti,Gadag,Karnataka,15.722510,75.413556,13
582208,Alagawadi,Dharwad,Karnataka,15.598013,75.364893,20
582209,Arahunsi,Gadag,Karnataka,15.706577,75.731735,17
582210,Shigli,Gadag,Karnataka,15.064161,75.467516,1
582211,Itagi,Gadag,Karnataka,15.771422,75.864016,7
583101,Ballari,Ballari,Karnataka,15.143486,76.925972,7
583102,Bandihatti,Ballari,Karnataka,15.107229,76.913679,12
583103,Asundi,Ballari,Karnataka,15.174108,76.971122,15
583104,Allipur,Ballari,Karnataka,15.159519,76.880780,4
583105,Ballari Jnanasagara,Ballari,Karnataka,15.155524,76.872578,1
583111,Chaganur,Ballari,Karnataka,15.173797,77.072759,9
583112,Gollalingammanahalli,Ballari,Karnataka,14.971452,76.629365,6
583113,Channapatna,Ballari,Karnataka,15.388557,76.706342,10
583114,Agasanur,Ballari,Karnataka,15.725617,77.031958,13
583115,B Belagal,Ballari,Karnataka,15.196816,76.794969,8
583116,Badanahatti,Ballari,Karnataka,15.344720,76.836366,5
583117,Basarakodu,Ballari,Karnataka,15.272346,77.072088,13
583118,D T Ship,Ballari,Karnataka,15.148417,76.935167,1
583119,Bhujanganagar,Ballari,Karnataka,15.088542,76.546362,8
583120,Byloor,Ballari,Karnataka,15.416746,76.848497,8
583121,Agricultural Research Centre,Ballari,Karnataka,15.632601,76.951153,15
583122,Balakundi,Ballari,Karnataka,15.535644,76.879257,9
583123,Kurekuppa,Ballari,Karnataka,15.186508,76.629781,5
583124,Bandri,Ballari,Karnataka,15.003894,76.455394,4
583125,Anajigere,Ballari,Karnataka,14.613042,76.043734,18
583126,Banvikal,Ballari,Karnataka,14.719380,76.523056,14
583127,Aladahalli,Ballari,Karnataka,14.768937,76.120549,8
583128,Agrahara,Ballari,Karnataka,14.924393,76.531494,10
583129,Chikkajayaganur,Ballari,Karnataka,15.312231,76.666133,9
583130,Appayyanahalli,Ballari,Karnataka,14.825202,76.596620,12
583131,Adavihalli,Ballari,Karnataka,14.817032,75.981330,14
583132,Belugoduhal,Ballari,Karnataka,15.403583,76.599444,10
583134,Ambli,Ballari,Karnataka,14.850561,76.223078,14
583135,Amalapura,Ballari,Karnataka,14.916053,76.384623,14
583136,Harakanahalu,Ballari,Karnataka,14.723111,76.264936,7
583137,Alagilawada,Ballari,Karnataka,14.662926,75.911465,14
583152,Anthapura,Ballari,Karnataka,15.092246,76.717266,6
583153,Shankar Hill Town Colony,Ballari,Karnataka,15.139393,76.921443,1
583154,Bhairapura,Ballari,Karnataka,15.428494,76.939819,6
583155,Chanahal,Ballari,Karnataka,15.327886,76.925870,5
583201,Hosapete,Ballari,Karnataka,15.273972,76.391000,5
583203,Hosapete N C C,Ballari,Karnataka,15.262571,76.383917,1
583211,Amaravathi,Ballari,Karnataka,15.280867,76.377332,3
583212,Anekal,Ballari,Karnataka,15.039665,76.227275,16
583213,Arasanahalu,Ballari,Karnataka,14.730182,75.820161,9
583214,Bannikallu,Ballari,Karnataka,15.108072,76.034500,9
583215,Hampi Power House,Ballari,Karnataka,15.310110,76.494727,1
583216,Beerabbi,Ballari,Karnataka,14.925785,75.830154,11
583217,Budanur,Ballari,Karnataka,14.820684,75.712857,7
583218,Alur Kudligi,Ballari,Karnataka,14.625532,76.468714,13
583219,Dasarahalli,Ballari,Karnataka,14.999752,75.938553,15
583220,Alabur,Ballari,Karnataka,14.950833,76.107293,8
583221,Venkatapura,Ballari,Karnataka,15.316894,76.494447,2
583222,Chilakanahatti,Ballari,Karnataka,15.129865,76.364478,11
583223,Byluvaddigere,Ballari,Karnataka,15.236739,76.527238,6
583224,Bannigola,Ballari,Karnataka,15.151139,76.154778,9
583225,T B Dam,Ballari,Karnataka,15.266944,76.351306,1
583226,Bochenhalli,Koppal,Karnataka,15.215757,75.967365,7
583227,Anegundi,Koppal,Karnataka,15.427928,76.526592,16
583228,Budgumpa,Koppal,Karnataka,15.369837,76.283144,10
